study_id,site_id,plot_id,longitude,latitude,position_method,elevation,elevation_se,datum,elevation_method,MSL,MHW,tidal_datum_source,year,is_peak_biomass,field_or_manipulation_code,genus,species,other_cover_description,harvest_or_allometry,allometric_measurements_present,plot_area,AGB_total,BGB_total,root_and_rhizome_to_shoot_ratio
Morris_et_al_2020,Fire Island,m2-2,-72.913771,40.723416,RTK,-0.013,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.982797,40.694216,RTK,0.30439999999999995,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,228.36,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.98283,40.694383,RTK,0.29860000000000003,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,358.52,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.982809,40.694577,RTK,0.29660000000000003,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,349.52,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.982915,40.694743,RTK,0.3356,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,313.68,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.983078,40.694947,RTK,0.3524,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,227.84,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.983188,40.695124,RTK,0.1774,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,228.72,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.983223,40.695145,RTK,-0.02,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,145.28,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.983308,40.695083,RTK,-0.06,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.98331,40.69508,RTK,-0.075,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.983314,40.695082,RTK,-0.078,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.983312,40.695086,RTK,-0.07,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,watch hill-3,-72.983311,40.695083,RTK,-0.066,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.891877,40.727806,RTK,0.45899999999999996,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,66.68,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.891791,40.727991,RTK,0.38339999999999996,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,521.8,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.891474,40.728525,RTK,0.3438,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,477.44,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.891264,40.728894,RTK,0.3124,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,353.64,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890981,40.729129,RTK,0.2615,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,24.84,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890685,40.729551,RTK,0.2262,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,649.48,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890533,40.729693,RTK,0.19860000000000003,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,518.2,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890288,40.729868,RTK,0.2016,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,242.88,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890286,40.730114,RTK,0.0462,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,238.2,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890286,40.73008,RTK,0.10639999999999998,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,148.04,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890382,40.73012,RTK,-0.144,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890391,40.730117,RTK,-0.099,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890399,40.730115,RTK,-0.056,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890418,40.730128,RTK,-0.137,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890427,40.730138,RTK,-0.101,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890261,40.728207,RTK,0.288,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890273,40.728157,RTK,0.27,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890145,40.728177,RTK,0.307,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.89004,40.728166,RTK,0.283,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890015,40.728165,RTK,0.303,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890457,40.727908,RTK,0.324,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890494,40.7279,RTK,0.311,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890474,40.727843,RTK,0.303,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,hospital point-4,-72.890497,40.727826,RTK,0.306,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.786003,40.758028,RTK,0.3276,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,185.28,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785894,40.7582,RTK,0.2802,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,466.28,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785749,40.75836,RTK,0.1456,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,455,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785561,40.758437,RTK,0.079,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,1013.12,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785374,40.758474,RTK,0.24240000000000003,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,679.68,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785322,40.758461,RTK,-0.059199999999999996,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,239.28,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785271,40.758491,RTK,-0.301,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785272,40.758501,RTK,-0.298,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785222,40.758519,RTK,-0.244,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785204,40.758534,RTK,-0.22,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785189,40.758558,RTK,-0.241,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785154,40.758568,RTK,-0.251,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785169,40.758525,RTK,-0.227,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785197,40.758512,RTK,-0.234,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,water,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785705,40.758048,RTK,0.418,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785744,40.758038,RTK,0.443,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785783,40.758014,RTK,0.417,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785832,40.758015,RTK,0.429,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785884,40.757982,RTK,0.398,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785898,40.757957,RTK,0.412,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785916,40.757954,RTK,0.403,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785948,40.757967,RTK,0.37,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785971,40.757954,RTK,0.4,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Fire Island,great gun-5,-72.785998,40.757943,RTK,0.396,NA,NAVD88,RTK,-0.064,0.331,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,NA,NA,upper edge,harvest,NA,0.25,0,NA,NA
Morris_et_al_2020,Assateague Island,m6-6,-75.189546000000007,38.143464,RTK,0.2332,NA,NAVD88,RTK,-0.013000000000000001,0.121,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,334.16,NA,NA
Morris_et_al_2020,Assateague Island,m6-6,-75.189653,38.143494,RTK,0.1806,NA,NAVD88,RTK,-0.013000000000000001,0.121,"Tidal datums were determined using data from a Hobo pressure transducer, compensated for atmospheric pressure, and operated by James Lynch",2016,yes,field,Spartina,alterniflora,NA,harvest,NA,0.25,395.03999999999996,NA,NA
