study_id,site_id,chamber_id,state,estuary,wetland_type,chamber_latitude,chamber_longitude,chamber_position_method,chamber_elevation,chamber_elevation_zstar,chamber_elevation_method,chamber_elevation_datum
Janousek_et_al_2025,DAN-EM,2043,OR,Coos,Emergent marsh,43.2832817421,-124.3233732522,RTK-GPS,1.892,0.6472995090016366,RTK-GPS,NAVD88
Janousek_et_al_2025,DAN-EM,2044,OR,Coos,Emergent marsh,43.2832941241,-124.3234657751,RTK-GPS,1.948,0.693126022913257,RTK-GPS,NAVD88
Janousek_et_al_2025,DAN-EM,2045,OR,Coos,Emergent marsh,43.2832974052,-124.3235098351,RTK-GPS,1.97,0.7111292962356792,RTK-GPS,NAVD88
Janousek_et_al_2025,DAN-EM,2046,OR,Coos,Emergent marsh,43.2833094782,-124.323601045,RTK-GPS,2.321,0.9983633387888708,RTK-GPS,NAVD88
Janousek_et_al_2025,DAN-EM,2047,OR,Coos,Emergent marsh,43.28333,-124.32364,Estimate-from-map,2.508,1.15139116202946,Leveling,NAVD88
Janousek_et_al_2025,FIR-EM,2174,WA,Skagit,Emergent marsh,48.3334085091,-122.4149161531,RTK-GPS,2.68,0.8770161290322582,RTK-GPS,NAVD88
Janousek_et_al_2025,FIR-EM,2175,WA,Skagit,Emergent marsh,48.3333801391,-122.4149384845,RTK-GPS,2.629,0.842741935483871,RTK-GPS,NAVD88
Janousek_et_al_2025,FIR-EM,2176,WA,Skagit,Emergent marsh,48.3333212419,-122.4149764931,RTK-GPS,2.592,0.8178763440860216,RTK-GPS,NAVD88
Janousek_et_al_2025,FIR-EM,2177,WA,Skagit,Emergent marsh,48.3332928294,-122.414992227,RTK-GPS,2.611,0.8306451612903227,RTK-GPS,NAVD88
Janousek_et_al_2025,FIR-EM,2178,WA,Skagit,Emergent marsh,48.3332240224,-122.415036434,RTK-GPS,2.567,0.8010752688172044,RTK-GPS,NAVD88
Janousek_et_al_2025,FIR-EM,2179,WA,Skagit,Emergent marsh,48.3331947635,-122.4150520561,RTK-GPS,2.572,0.8044354838709677,RTK-GPS,NAVD88
Janousek_et_al_2025,FRE-RM,2024,OR,Coos,Emergent marsh,43.2748665583,-124.3202279152,RTK-GPS,2.328,1.0040916530278232,RTK-GPS,NAVD88
Janousek_et_al_2025,FRE-RM,2025,OR,Coos,Emergent marsh,43.2748776524,-124.3202699936,RTK-GPS,2.261,0.9492635024549919,RTK-GPS,NAVD88
Janousek_et_al_2025,FRE-RM,2026,OR,Coos,Emergent marsh,43.2748941536,-124.3203662893,RTK-GPS,2.336,1.0106382978723403,RTK-GPS,NAVD88
Janousek_et_al_2025,FRE-RM,2027,OR,Coos,Emergent marsh,43.2748980613,-124.3204099869,RTK-GPS,2.425,1.083469721767594,RTK-GPS,NAVD88
Janousek_et_al_2025,FRE-RM,2028,OR,Coos,Emergent marsh,43.2749167952,-124.3205296964,RTK-GPS,2.313,0.9918166939443537,RTK-GPS,NAVD88
Janousek_et_al_2025,FRE-RM,2029,OR,Coos,Emergent marsh,43.2749259768,-124.3205712898,RTK-GPS,2.207,0.9050736497545008,RTK-GPS,NAVD88
Janousek_et_al_2025,FRR-RM,2180,WA,Skagit,Emergent marsh,48.3351677229,-122.4103205926,RTK-GPS,2.037,0.4448924731182795,RTK-GPS,NAVD88
Janousek_et_al_2025,FRR-RM,2181,WA,Skagit,Emergent marsh,48.3351750914,-122.4103680177,RTK-GPS,1.993,0.41532258064516137,RTK-GPS,NAVD88
Janousek_et_al_2025,FRR-RM,2182,WA,Skagit,Emergent marsh,48.3352297028,-122.4106017408,RTK-GPS,1.854,0.3219086021505377,RTK-GPS,NAVD88
Janousek_et_al_2025,FRR-RM,2183,WA,Skagit,Emergent marsh,48.335237796,-122.410648402,RTK-GPS,1.883,0.3413978494623656,RTK-GPS,NAVD88
Janousek_et_al_2025,FRR-RM,2184,WA,Skagit,Emergent marsh,48.3352545107,-122.4108782444,RTK-GPS,1.907,0.3575268817204301,RTK-GPS,NAVD88
Janousek_et_al_2025,FRR-RM,2185,WA,Skagit,Emergent marsh,48.3352625199,-122.4109208181,RTK-GPS,1.926,0.37029569892473113,RTK-GPS,NAVD88
Janousek_et_al_2025,FSM-EM,2018,OR,Coos,Emergent marsh,43.2723903041,-124.3188719053,RTK-GPS,2.476,1.1252045826513912,RTK-GPS,NAVD88
Janousek_et_al_2025,FSM-EM,2019,OR,Coos,Emergent marsh,43.2723764332,-124.318912851,RTK-GPS,2.497,1.1423895253682488,RTK-GPS,NAVD88
Janousek_et_al_2025,FSM-EM,2020,OR,Coos,Emergent marsh,43.2723425904,-124.3190146847,RTK-GPS,2.527,1.1669394435351883,RTK-GPS,NAVD88
Janousek_et_al_2025,FSM-EM,2021,OR,Coos,Emergent marsh,43.2723294288,-124.3190558059,RTK-GPS,2.493,1.13911620294599,RTK-GPS,NAVD88
Janousek_et_al_2025,FSM-EM,2022,OR,Coos,Emergent marsh,43.2722950911,-124.3191576042,RTK-GPS,2.483,1.1309328968903438,RTK-GPS,NAVD88
Janousek_et_al_2025,FSM-EM,2023,OR,Coos,Emergent marsh,43.2722803859,-124.3191990492,RTK-GPS,2.373,1.0409165302782326,RTK-GPS,NAVD88
Janousek_et_al_2025,JRD-N-PA,2138,WA,Grays Harbor,Non-tidal dry pasture,46.8986140476,-123.9883920712,RTK-GPS,2.414,0.9135708870356332,RTK-GPS,NAVD88
Janousek_et_al_2025,JRD-N-PA,2139,WA,Grays Harbor,Non-tidal dry pasture,46.8986189164,-123.988352433,RTK-GPS,2.418,0.9166034874905232,RTK-GPS,NAVD88
Janousek_et_al_2025,JRD-N-PA,2140,WA,Grays Harbor,Non-tidal dry pasture,46.8986398018,-123.9882775363,RTK-GPS,2.529,1.0007581501137224,RTK-GPS,NAVD88
Janousek_et_al_2025,JRD-N-PA,2141,WA,Grays Harbor,Non-tidal dry pasture,46.8986482529,-123.9882305068,RTK-GPS,2.528,1,RTK-GPS,NAVD88
Janousek_et_al_2025,JRD-N-PA,2142,WA,Grays Harbor,Non-tidal dry pasture,46.8986589727,-123.9881500142,RTK-GPS,2.536,1.0060652009097801,RTK-GPS,NAVD88
Janousek_et_al_2025,JRD-N-PA,2143,WA,Grays Harbor,Non-tidal dry pasture,46.8986677434,-123.9881097386,RTK-GPS,2.571,1.0326004548900682,RTK-GPS,NAVD88
Janousek_et_al_2025,JRM-EM,2126,WA,Grays Harbor,Emergent marsh,46.891655809,-123.9872065178,RTK-GPS,3.022,1.3745261561789233,RTK-GPS,NAVD88
Janousek_et_al_2025,JRM-EM,2127,WA,Grays Harbor,Emergent marsh,46.8916399066,-123.98724734,RTK-GPS,2.923,1.2994692949203943,RTK-GPS,NAVD88
Janousek_et_al_2025,JRM-EM,2128,WA,Grays Harbor,Emergent marsh,46.891596082,-123.9873390815,RTK-GPS,2.949,1.3191811978771795,RTK-GPS,NAVD88
Janousek_et_al_2025,JRM-EM,2129,WA,Grays Harbor,Emergent marsh,46.8915774665,-123.9873793681,RTK-GPS,2.926,1.301743745261562,RTK-GPS,NAVD88
Janousek_et_al_2025,JRM-EM,2130,WA,Grays Harbor,Emergent marsh,46.8915413147,-123.9874621008,RTK-GPS,2.934,1.307808946171342,RTK-GPS,NAVD88
Janousek_et_al_2025,JRM-EM,2131,WA,Grays Harbor,Emergent marsh,46.8915176281,-123.9874945755,RTK-GPS,2.933,1.3070507960576192,RTK-GPS,NAVD88
Janousek_et_al_2025,JRO-EM,2114,WA,Grays Harbor,Emergent marsh,46.8833627491,-123.9647684275,RTK-GPS,2.847,1.241849886277483,RTK-GPS,NAVD88
Janousek_et_al_2025,JRO-EM,2115,WA,Grays Harbor,Emergent marsh,46.883382929,-123.9647348479,RTK-GPS,2.79,1.1986353297952994,RTK-GPS,NAVD88
Janousek_et_al_2025,JRO-EM,2116,WA,Grays Harbor,Emergent marsh,46.8834338491,-123.9646265734,RTK-GPS,2.84,1.2365428354814252,RTK-GPS,NAVD88
Janousek_et_al_2025,JRO-EM,2117,WA,Grays Harbor,Emergent marsh,46.8834524293,-123.9645948681,RTK-GPS,2.774,1.1865049279757391,RTK-GPS,NAVD88
Janousek_et_al_2025,JRO-EM,2118,WA,Grays Harbor,Emergent marsh,46.8835023092,-123.9645213824,RTK-GPS,2.676,1.1122062168309326,RTK-GPS,NAVD88
Janousek_et_al_2025,JRO-EM,2119,WA,Grays Harbor,Emergent marsh,46.8835254363,-123.9644915305,RTK-GPS,2.644,1.087945413191812,RTK-GPS,NAVD88
Janousek_et_al_2025,JRP-EM,2132,WA,Grays Harbor,Emergent marsh,46.900910716,-123.9924500611,RTK-GPS,2.581,1.0401819560272934,RTK-GPS,NAVD88
Janousek_et_al_2025,JRP-EM,2133,WA,Grays Harbor,Emergent marsh,46.9008833869,-123.9924541126,RTK-GPS,2.577,1.0371493555724032,RTK-GPS,NAVD88
Janousek_et_al_2025,JRP-EM,2134,WA,Grays Harbor,Emergent marsh,46.9008229495,-123.9924468527,RTK-GPS,2.541,1.0098559514783927,RTK-GPS,NAVD88
Janousek_et_al_2025,JRP-EM,2135,WA,Grays Harbor,Emergent marsh,46.9007933622,-123.9924435758,RTK-GPS,2.555,1.020470053070508,RTK-GPS,NAVD88
Janousek_et_al_2025,JRP-EM,2136,WA,Grays Harbor,Emergent marsh,46.900733611,-123.9924370901,RTK-GPS,2.558,1.0227445034116753,RTK-GPS,NAVD88
Janousek_et_al_2025,JRP-EM,2137,WA,Grays Harbor,Emergent marsh,46.9007032186,-123.9924342973,RTK-GPS,2.588,1.045489006823351,RTK-GPS,NAVD88
Janousek_et_al_2025,JRR-RM,2150,WA,Grays Harbor,Emergent marsh,46.9051618476,-123.990615085,RTK-GPS,1.98,0.5845337376800606,RTK-GPS,NAVD88
Janousek_et_al_2025,JRR-RM,2151,WA,Grays Harbor,Emergent marsh,46.9051503128,-123.990658531,RTK-GPS,1.947,0.5595147839272177,RTK-GPS,NAVD88
Janousek_et_al_2025,JRR-RM,2152,WA,Grays Harbor,Emergent marsh,46.9051228439,-123.9907754498,RTK-GPS,2.167,0.7263078089461712,RTK-GPS,NAVD88
Janousek_et_al_2025,JRR-RM,2153,WA,Grays Harbor,Emergent marsh,46.9051095392,-123.9908185611,RTK-GPS,2.203,0.7536012130401818,RTK-GPS,NAVD88
Janousek_et_al_2025,JRR-RM,2154,WA,Grays Harbor,Emergent marsh,46.9050726672,-123.9909540698,RTK-GPS,2.233,0.7763457164518575,RTK-GPS,NAVD88
Janousek_et_al_2025,JRR-RM,2155,WA,Grays Harbor,Emergent marsh,46.9050627798,-123.9909964036,RTK-GPS,2.237,0.7793783169067476,RTK-GPS,NAVD88
Janousek_et_al_2025,JRS-TS,2120,WA,Grays Harbor,Tidal swamp,46.88289,-123.96572,Handheld-GPS,2.829,1.2282031842304777,Leveling,NAVD88
Janousek_et_al_2025,JRS-TS,2121,WA,Grays Harbor,Tidal swamp,46.88289,-123.96572,Handheld-GPS,2.647,1.0902198635329794,Leveling,NAVD88
Janousek_et_al_2025,JRS-TS,2122,WA,Grays Harbor,Tidal swamp,46.883,-123.9658,Handheld-GPS,2.674,1.1106899166034874,Leveling,NAVD88
Janousek_et_al_2025,JRS-TS,2123,WA,Grays Harbor,Tidal swamp,46.883,-123.9658,Handheld-GPS,2.757,1.1736163760424565,Leveling,NAVD88
Janousek_et_al_2025,JRS-TS,2124,WA,Grays Harbor,Tidal swamp,46.8829,-123.9657,Handheld-GPS,2.721,1.1463229719484458,Leveling,NAVD88
Janousek_et_al_2025,JRS-TS,2125,WA,Grays Harbor,Tidal swamp,46.8829,-123.9657,Handheld-GPS,2.739,1.159969673995451,Leveling,NAVD88
Janousek_et_al_2025,JRW-S-PA,2144,WA,Grays Harbor,Non-tidal wet pasture,46.8933918444,-123.9885653976,RTK-GPS,2.668,1.1061410159211524,RTK-GPS,NAVD88
Janousek_et_al_2025,JRW-S-PA,2145,WA,Grays Harbor,Non-tidal wet pasture,46.8933925695,-123.988522077,RTK-GPS,2.674,1.1106899166034874,RTK-GPS,NAVD88
Janousek_et_al_2025,JRW-S-PA,2146,WA,Grays Harbor,Non-tidal wet pasture,46.8934032811,-123.9884436007,RTK-GPS,2.785,1.194844579226687,RTK-GPS,NAVD88
Janousek_et_al_2025,JRW-S-PA,2147,WA,Grays Harbor,Non-tidal wet pasture,46.8934086495,-123.9883971623,RTK-GPS,2.79,1.1986353297952994,RTK-GPS,NAVD88
Janousek_et_al_2025,JRW-S-PA,2148,WA,Grays Harbor,Non-tidal wet pasture,46.8934159034,-123.9883053636,RTK-GPS,2.799,1.2054586808188021,RTK-GPS,NAVD88
Janousek_et_al_2025,JRW-S-PA,2149,WA,Grays Harbor,Non-tidal wet pasture,46.8934205633,-123.9882638613,RTK-GPS,2.869,1.2585291887793786,RTK-GPS,NAVD88
Janousek_et_al_2025,KAN-RM,2108,WA,Columbia River,Emergent marsh,46.3260568811,-123.6540930873,RTK-GPS,2.152,0.5690265486725666,RTK-GPS,NAVD88
Janousek_et_al_2025,KAN-RM,2109,WA,Columbia River,Emergent marsh,46.3260794457,-123.6540644251,RTK-GPS,2.257,0.6619469026548676,RTK-GPS,NAVD88
Janousek_et_al_2025,KAN-RM,2110,WA,Columbia River,Emergent marsh,46.3261249773,-123.6539587657,RTK-GPS,2.032,0.4628318584070798,RTK-GPS,NAVD88
Janousek_et_al_2025,KAN-RM,2111,WA,Columbia River,Emergent marsh,46.3261463464,-123.6539361431,RTK-GPS,2.024,0.4557522123893807,RTK-GPS,NAVD88
Janousek_et_al_2025,KAN-RM,2112,WA,Columbia River,Emergent marsh,46.3261969962,-123.6538639835,RTK-GPS,2.08,0.5053097345132745,RTK-GPS,NAVD88
Janousek_et_al_2025,KAN-RM,2113,WA,Columbia River,Emergent marsh,46.3262106208,-123.6538280046,RTK-GPS,2.067,0.4938053097345136,RTK-GPS,NAVD88
Janousek_et_al_2025,KZH-RM,2030,OR,Coos,Emergent marsh,43.2805816112,-124.318853347,RTK-GPS,2.318,0.9959083469721769,RTK-GPS,NAVD88
Janousek_et_al_2025,KZH-RM,2031,OR,Coos,Emergent marsh,43.2805766762,-124.3188939982,RTK-GPS,2.33,1.0057283142389526,RTK-GPS,NAVD88
Janousek_et_al_2025,KZH-RM,2032,OR,Coos,Emergent marsh,43.2805799183,-124.3190524531,RTK-GPS,2.212,0.9091653027823242,RTK-GPS,NAVD88
Janousek_et_al_2025,KZH-RM,2033,OR,Coos,Emergent marsh,43.2805781985,-124.3190938269,RTK-GPS,2.352,1.0237315875613748,RTK-GPS,NAVD88
Janousek_et_al_2025,KZH-RM,2034,OR,Coos,Emergent marsh,43.2805874388,-124.3192349843,RTK-GPS,2.233,0.9263502454991818,RTK-GPS,NAVD88
Janousek_et_al_2025,KZH-RM,2035,OR,Coos,Emergent marsh,43.280595663,-124.3192667256,RTK-GPS,2.277,0.9623567921440264,RTK-GPS,NAVD88
Janousek_et_al_2025,KZL-RM,2036,OR,Coos,Emergent marsh,43.2817806735,-124.3195898219,RTK-GPS,1.782,0.5572831423895254,RTK-GPS,NAVD88
Janousek_et_al_2025,KZL-RM,2037,OR,Coos,Emergent marsh,43.2817555541,-124.3196192039,RTK-GPS,1.801,0.5728314238952537,RTK-GPS,NAVD88
Janousek_et_al_2025,KZL-RM,2038,OR,Coos,Emergent marsh,43.2816149086,-124.3197662811,RTK-GPS,1.751,0.5319148936170213,RTK-GPS,NAVD88
Janousek_et_al_2025,KZL-RM,2039,OR,Coos,Emergent marsh,43.2815885819,-124.3197918161,RTK-GPS,1.634,0.4361702127659574,RTK-GPS,NAVD88
Janousek_et_al_2025,KZL-RM,2040,OR,Coos,Emergent marsh,43.2815178596,-124.3198605637,RTK-GPS,1.573,0.3862520458265139,RTK-GPS,NAVD88
Janousek_et_al_2025,KZL-RM,2041,OR,Coos,Emergent marsh,43.2814924713,-124.3198773559,RTK-GPS,1.428,0.2675941080196399,RTK-GPS,NAVD88
Janousek_et_al_2025,MET-EM,2048,OR,Coos,Emergent marsh,43.3352218193,-124.328271944,RTK-GPS,2.078,0.7995090016366612,RTK-GPS,NAVD88
Janousek_et_al_2025,MET-EM,2049,OR,Coos,Emergent marsh,43.335249326,-124.3282961296,RTK-GPS,2.057,0.7823240589198036,RTK-GPS,NAVD88
Janousek_et_al_2025,MET-EM,2050,OR,Coos,Emergent marsh,43.3352903046,-124.3283899729,RTK-GPS,2.066,0.7896890343698854,RTK-GPS,NAVD88
Janousek_et_al_2025,MET-EM,2051,OR,Coos,Emergent marsh,43.3353184318,-124.3284157758,RTK-GPS,2.105,0.8216039279869067,RTK-GPS,NAVD88
Janousek_et_al_2025,MET-EM,2052,OR,Coos,Emergent marsh,43.3354032798,-124.3284150475,RTK-GPS,2.339,1.0130932896890343,RTK-GPS,NAVD88
Janousek_et_al_2025,MET-EM,2053,OR,Coos,Emergent marsh,43.3354318413,-124.3284398977,RTK-GPS,2.483,1.1309328968903438,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-EM,2054,OR,Coos,Emergent marsh,43.3680457013,-124.1853787157,RTK-GPS,2.217,1.0026525198938994,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-EM,2055,OR,Coos,Emergent marsh,43.3680758572,-124.1853648007,RTK-GPS,2.184,0.9734748010610081,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-EM,2056,OR,Coos,Emergent marsh,43.3681386375,-124.1853125188,RTK-GPS,2.256,1.0371352785145886,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-EM,2057,OR,Coos,Emergent marsh,43.3681687641,-124.1852979613,RTK-GPS,2.225,1.0097259062776305,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-EM,2058,OR,Coos,Emergent marsh,43.3682348687,-124.1852541986,RTK-GPS,2.225,1.0097259062776305,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-EM,2059,OR,Coos,Emergent marsh,43.3682629511,-124.185234442,RTK-GPS,2.29,1.0671971706454466,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-RM,2060,OR,Coos,Emergent marsh,43.3674363483,-124.1850188933,RTK-GPS,2.541,1.2891246684350133,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-RM,2061,OR,Coos,Emergent marsh,43.3674090668,-124.1850317536,RTK-GPS,2.582,1.3253757736516356,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-RM,2062,OR,Coos,Emergent marsh,43.367338036,-124.1850677678,RTK-GPS,2.551,1.2979664014146775,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-RM,2063,OR,Coos,Emergent marsh,43.3673090615,-124.1850650067,RTK-GPS,2.512,1.2634836427939877,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-RM,2064,OR,Coos,Emergent marsh,43.3672461747,-124.1850841347,RTK-GPS,2.496,1.2493368700265253,RTK-GPS,NAVD88
Janousek_et_al_2025,MIL-RM,2065,OR,Coos,Emergent marsh,43.3672135035,-124.1850792282,RTK-GPS,2.534,1.2829354553492482,RTK-GPS,NAVD88
Janousek_et_al_2025,MIO-EM,2156,WA,Skagit,Emergent marsh,48.3015128599,-122.3600749509,RTK-GPS,2.554,0.7923387096774193,RTK-GPS,NAVD88
Janousek_et_al_2025,MIO-EM,2157,WA,Skagit,Emergent marsh,48.3014953117,-122.3600385599,RTK-GPS,2.549,0.7889784946236559,RTK-GPS,NAVD88
Janousek_et_al_2025,MIO-EM,2158,WA,Skagit,Emergent marsh,48.3014465222,-122.3598979199,RTK-GPS,2.639,0.8494623655913978,RTK-GPS,NAVD88
Janousek_et_al_2025,MIO-EM,2159,WA,Skagit,Emergent marsh,48.3014320644,-122.359863985,RTK-GPS,2.623,0.838709677419355,RTK-GPS,NAVD88
Janousek_et_al_2025,MIO-EM,2160,WA,Skagit,Emergent marsh,48.3013864905,-122.35976121,RTK-GPS,2.545,0.7862903225806451,RTK-GPS,NAVD88
Janousek_et_al_2025,MIO-EM,2161,WA,Skagit,Emergent marsh,48.3013750468,-122.3597257002,RTK-GPS,2.521,0.7701612903225806,RTK-GPS,NAVD88
Janousek_et_al_2025,MIR-RM,2168,WA,Skagit,Emergent marsh,48.3173312074,-122.3483398481,RTK-GPS,2.992,1.0866935483870968,RTK-GPS,NAVD88
Janousek_et_al_2025,MIR-RM,2169,WA,Skagit,Emergent marsh,48.3173229022,-122.3483729876,RTK-GPS,2.956,1.0625,RTK-GPS,NAVD88
Janousek_et_al_2025,MIR-RM,2170,WA,Skagit,Emergent marsh,48.3173167546,-122.3484598384,RTK-GPS,2.874,1.0073924731182797,RTK-GPS,NAVD88
Janousek_et_al_2025,MIR-RM,2171,WA,Skagit,Emergent marsh,48.3173094763,-122.3485043222,RTK-GPS,2.812,0.9657258064516128,RTK-GPS,NAVD88
Janousek_et_al_2025,MIR-RM,2172,WA,Skagit,Emergent marsh,48.3173027617,-122.3485641355,RTK-GPS,2.864,1.0006720430107525,RTK-GPS,NAVD88
Janousek_et_al_2025,MIR-RM,2173,WA,Skagit,Emergent marsh,48.3172998432,-122.3486048139,RTK-GPS,2.921,1.0389784946236558,RTK-GPS,NAVD88
Janousek_et_al_2025,MIS-TS,2162,WA,Skagit,Tidal swamp,48.3174,-122.3474,Handheld-GPS,3.47,1.407930107526882,Leveling,NAVD88
Janousek_et_al_2025,MIS-TS,2163,WA,Skagit,Tidal swamp,48.3174,-122.3474,Handheld-GPS,3.41,1.3676075268817205,Leveling,NAVD88
Janousek_et_al_2025,MIS-TS,2164,WA,Skagit,Tidal swamp,48.3174,-122.3473,Handheld-GPS,3.477,1.4126344086021505,Leveling,NAVD88
Janousek_et_al_2025,MIS-TS,2165,WA,Skagit,Tidal swamp,48.3174,-122.3473,Handheld-GPS,3.322,1.308467741935484,Leveling,NAVD88
Janousek_et_al_2025,MIS-TS,2166,WA,Skagit,Tidal swamp,48.3173,-122.3472,Handheld-GPS,NA,NA,NA,NAVD88
Janousek_et_al_2025,MIS-TS,2167,WA,Skagit,Tidal swamp,48.3173,-122.3472,Handheld-GPS,NA,NA,NA,NAVD88
Janousek_et_al_2025,MLC-EM,2078,OR,Columbia River,Emergent marsh,46.1576461939,-123.861319816,RTK-GPS,2.194,0.6531424025457438,RTK-GPS,NAVD88
Janousek_et_al_2025,MLC-EM,2079,OR,Columbia River,Emergent marsh,46.1576552458,-123.8613607153,RTK-GPS,2.254,0.7008750994431187,RTK-GPS,NAVD88
Janousek_et_al_2025,MLC-EM,2080,OR,Columbia River,Emergent marsh,46.1576699946,-123.8614721073,RTK-GPS,2.259,0.7048528241845664,RTK-GPS,NAVD88
Janousek_et_al_2025,MLC-EM,2081,OR,Columbia River,Emergent marsh,46.1576744272,-123.8615180762,RTK-GPS,2.264,0.7088305489260142,RTK-GPS,NAVD88
Janousek_et_al_2025,MLC-EM,2082,OR,Columbia River,Emergent marsh,46.157695539,-123.8616354346,RTK-GPS,2.308,0.7438345266507557,RTK-GPS,NAVD88
Janousek_et_al_2025,MLC-EM,2083,OR,Columbia River,Emergent marsh,46.1577025368,-123.8616765998,RTK-GPS,2.271,0.7143993635640413,RTK-GPS,NAVD88
Janousek_et_al_2025,PBD-PA,2198,WA,Padilla Bay,Non-tidal dry pasture,48.4637150221,-122.4693635057,RTK-GPS,1.531,0.01915322580645152,RTK-GPS,NAVD88
Janousek_et_al_2025,PBD-PA,2199,WA,Padilla Bay,Non-tidal dry pasture,48.4637031965,-122.4694074712,RTK-GPS,1.556,0.044354838709677456,RTK-GPS,NAVD88
Janousek_et_al_2025,PBD-PA,2200,WA,Padilla Bay,Non-tidal dry pasture,48.4636739351,-122.4695235434,RTK-GPS,1.631,0.11995967741935483,RTK-GPS,NAVD88
Janousek_et_al_2025,PBD-PA,2201,WA,Padilla Bay,Non-tidal dry pasture,48.4636654969,-122.4695704901,RTK-GPS,1.639,0.1280241935483871,RTK-GPS,NAVD88
Janousek_et_al_2025,PBD-PA,2202,WA,Padilla Bay,Non-tidal dry pasture,48.4636413597,-122.469675998,RTK-GPS,1.595,0.08366935483870964,RTK-GPS,NAVD88
Janousek_et_al_2025,PBD-PA,2203,WA,Padilla Bay,Non-tidal dry pasture,48.4636328659,-122.4697226341,RTK-GPS,1.593,0.08165322580645157,RTK-GPS,NAVD88
Janousek_et_al_2025,PBW-PA,2192,WA,Padilla Bay,Non-tidal wet pasture,48.4571471735,-122.4695447747,RTK-GPS,1.109,-0.40625000000000006,RTK-GPS,NAVD88
Janousek_et_al_2025,PBW-PA,2193,WA,Padilla Bay,Non-tidal wet pasture,48.4571174123,-122.4695582858,RTK-GPS,1.095,-0.4203629032258065,RTK-GPS,NAVD88
Janousek_et_al_2025,PBW-PA,2194,WA,Padilla Bay,Non-tidal wet pasture,48.4570483906,-122.4695698929,RTK-GPS,0.972,-0.5443548387096775,RTK-GPS,NAVD88
Janousek_et_al_2025,PBW-PA,2195,WA,Padilla Bay,Non-tidal wet pasture,48.4570190081,-122.4695874847,RTK-GPS,0.889,-0.6280241935483871,RTK-GPS,NAVD88
Janousek_et_al_2025,PBW-PA,2196,WA,Padilla Bay,Non-tidal wet pasture,48.4569563799,-122.4696687225,RTK-GPS,1.101,-0.4143145161290323,RTK-GPS,NAVD88
